nohup: ignoring input
=== Starting Curriculum ===
  Stage 1/3  |  torpedoes = 1  |  distance = (1500.0, 2400.0)  |  target survival = 90.0%
Ep 00020 | Stage 1 (1 torps) | Reward   +993.6 | Survival  35.0% | eps 0.95 | noise 0.95
Ep 00040 | Stage 1 (1 torps) | Reward   +364.9 | Survival  27.5% | eps 0.90 | noise 0.89
Ep 00060 | Stage 1 (1 torps) | Reward   +394.1 | Survival  28.3% | eps 0.85 | noise 0.84
Ep 00080 | Stage 1 (1 torps) | Reward   +290.3 | Survival  31.2% | eps 0.80 | noise 0.79
Ep 00100 | Stage 1 (1 torps) | Reward   +382.4 | Survival  31.0% | eps 0.75 | noise 0.73
Ep 00120 | Stage 1 (1 torps) | Reward   +355.2 | Survival  27.0% | eps 0.69 | noise 0.68
Ep 00140 | Stage 1 (1 torps) | Reward   +367.5 | Survival  27.0% | eps 0.64 | noise 0.62
Ep 00160 | Stage 1 (1 torps) | Reward   +296.3 | Survival  28.0% | eps 0.59 | noise 0.57
Ep 00180 | Stage 1 (1 torps) | Reward   +340.2 | Survival  26.0% | eps 0.54 | noise 0.51
Ep 00200 | Stage 1 (1 torps) | Reward   +404.2 | Survival  29.0% | eps 0.49 | noise 0.46
Ep 00220 | Stage 1 (1 torps) | Reward   +706.2 | Survival  39.0% | eps 0.44 | noise 0.41
Ep 00240 | Stage 1 (1 torps) | Reward   +421.4 | Survival  43.0% | eps 0.39 | noise 0.35
Ep 00260 | Stage 1 (1 torps) | Reward   +872.3 | Survival  49.0% | eps 0.33 | noise 0.30
Ep 00280 | Stage 1 (1 torps) | Reward   +412.4 | Survival  57.0% | eps 0.28 | noise 0.24
Ep 00300 | Stage 1 (1 torps) | Reward   +718.0 | Survival  63.0% | eps 0.23 | noise 0.19
Ep 00320 | Stage 1 (1 torps) | Reward   +749.1 | Survival  67.0% | eps 0.18 | noise 0.13
Ep 00340 | Stage 1 (1 torps) | Reward   +680.0 | Survival  73.0% | eps 0.13 | noise 0.08
Ep 00360 | Stage 1 (1 torps) | Reward   +731.5 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 00380 | Stage 1 (1 torps) | Reward   +749.0 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 00400 | Stage 1 (1 torps) | Reward   +700.5 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 00420 | Stage 1 (1 torps) | Reward   +266.3 | Survival  66.0% | eps 0.10 | noise 0.05
Ep 00440 | Stage 1 (1 torps) | Reward   +727.7 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 00460 | Stage 1 (1 torps) | Reward   +715.4 | Survival  69.0% | eps 0.10 | noise 0.05
Ep 00480 | Stage 1 (1 torps) | Reward   +300.4 | Survival  72.0% | eps 0.10 | noise 0.05
Ep 00500 | Stage 1 (1 torps) | Reward   +259.3 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 00520 | Stage 1 (1 torps) | Reward   +309.2 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 00540 | Stage 1 (1 torps) | Reward   +303.0 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 00560 | Stage 1 (1 torps) | Reward   +307.5 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 00580 | Stage 1 (1 torps) | Reward   +763.2 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 00600 | Stage 1 (1 torps) | Reward   +324.5 | Survival  72.0% | eps 0.10 | noise 0.05
Ep 00620 | Stage 1 (1 torps) | Reward   +688.3 | Survival  72.0% | eps 0.10 | noise 0.05
Ep 00640 | Stage 1 (1 torps) | Reward   +373.3 | Survival  73.0% | eps 0.10 | noise 0.05
Ep 00660 | Stage 1 (1 torps) | Reward   +682.5 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 00680 | Stage 1 (1 torps) | Reward   +284.8 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 00700 | Stage 1 (1 torps) | Reward   +729.6 | Survival  72.0% | eps 0.10 | noise 0.05
Ep 00720 | Stage 1 (1 torps) | Reward   +737.9 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 00740 | Stage 1 (1 torps) | Reward   +303.5 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 00760 | Stage 1 (1 torps) | Reward   +308.4 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 00780 | Stage 1 (1 torps) | Reward   +706.5 | Survival  73.0% | eps 0.10 | noise 0.05
Ep 00800 | Stage 1 (1 torps) | Reward   +748.1 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 00820 | Stage 1 (1 torps) | Reward  +1026.2 | Survival  69.0% | eps 0.10 | noise 0.05
Ep 00840 | Stage 1 (1 torps) | Reward   +771.6 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 00860 | Stage 1 (1 torps) | Reward   +268.0 | Survival  69.0% | eps 0.10 | noise 0.05
Ep 00880 | Stage 1 (1 torps) | Reward   +776.5 | Survival  69.0% | eps 0.10 | noise 0.05
Ep 00900 | Stage 1 (1 torps) | Reward   +274.0 | Survival  69.0% | eps 0.10 | noise 0.05
Ep 00920 | Stage 1 (1 torps) | Reward   +734.9 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 00940 | Stage 1 (1 torps) | Reward   +746.6 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 00960 | Stage 1 (1 torps) | Reward   +417.7 | Survival  73.0% | eps 0.10 | noise 0.05
Ep 00980 | Stage 1 (1 torps) | Reward   +708.5 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 01000 | Stage 1 (1 torps) | Reward   +745.1 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 01020 | Stage 1 (1 torps) | Reward   +403.5 | Survival  77.0% | eps 0.10 | noise 0.05
Ep 01040 | Stage 1 (1 torps) | Reward   +679.9 | Survival  75.0% | eps 0.10 | noise 0.05
Ep 01060 | Stage 1 (1 torps) | Reward   +702.5 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 01080 | Stage 1 (1 torps) | Reward   +389.2 | Survival  75.0% | eps 0.10 | noise 0.05
Ep 01100 | Stage 1 (1 torps) | Reward  +1121.7 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 01120 | Stage 1 (1 torps) | Reward   +269.3 | Survival  79.0% | eps 0.10 | noise 0.05
Ep 01140 | Stage 1 (1 torps) | Reward   +693.7 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 01160 | Stage 1 (1 torps) | Reward   +687.7 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 01180 | Stage 1 (1 torps) | Reward   +768.5 | Survival  73.0% | eps 0.10 | noise 0.05
Ep 01200 | Stage 1 (1 torps) | Reward   +746.8 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 01220 | Stage 1 (1 torps) | Reward   +738.9 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 01240 | Stage 1 (1 torps) | Reward   +314.7 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 01260 | Stage 1 (1 torps) | Reward   +280.8 | Survival  64.0% | eps 0.10 | noise 0.05
Ep 01280 | Stage 1 (1 torps) | Reward   +683.6 | Survival  69.0% | eps 0.10 | noise 0.05
Ep 01300 | Stage 1 (1 torps) | Reward  +1101.1 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 01320 | Stage 1 (1 torps) | Reward   +694.3 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 01340 | Stage 1 (1 torps) | Reward   +793.0 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 01360 | Stage 1 (1 torps) | Reward   +309.3 | Survival  72.0% | eps 0.10 | noise 0.05
Ep 01380 | Stage 1 (1 torps) | Reward   +742.6 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 01400 | Stage 1 (1 torps) | Reward   +717.0 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 01420 | Stage 1 (1 torps) | Reward   +722.3 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 01440 | Stage 1 (1 torps) | Reward   +706.1 | Survival  81.0% | eps 0.10 | noise 0.05
Ep 01460 | Stage 1 (1 torps) | Reward   +752.7 | Survival  80.0% | eps 0.10 | noise 0.05
Ep 01480 | Stage 1 (1 torps) | Reward   +735.1 | Survival  77.0% | eps 0.10 | noise 0.05
Ep 01500 | Stage 1 (1 torps) | Reward   +739.8 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 01520 | Stage 1 (1 torps) | Reward   +262.9 | Survival  65.0% | eps 0.10 | noise 0.05
Ep 01540 | Stage 1 (1 torps) | Reward   +735.9 | Survival  63.0% | eps 0.10 | noise 0.05
Ep 01560 | Stage 1 (1 torps) | Reward   +707.1 | Survival  61.0% | eps 0.10 | noise 0.05
Ep 01580 | Stage 1 (1 torps) | Reward   +698.8 | Survival  60.0% | eps 0.10 | noise 0.05
Ep 01600 | Stage 1 (1 torps) | Reward   +734.9 | Survival  63.0% | eps 0.10 | noise 0.05
Ep 01620 | Stage 1 (1 torps) | Reward   +679.2 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 01640 | Stage 1 (1 torps) | Reward   +727.7 | Survival  69.0% | eps 0.10 | noise 0.05
Ep 01660 | Stage 1 (1 torps) | Reward   +382.5 | Survival  73.0% | eps 0.10 | noise 0.05
Ep 01680 | Stage 1 (1 torps) | Reward   +739.0 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 01700 | Stage 1 (1 torps) | Reward   +699.0 | Survival  72.0% | eps 0.10 | noise 0.05
Ep 01720 | Stage 1 (1 torps) | Reward   +291.1 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 01740 | Stage 1 (1 torps) | Reward   +773.0 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 01760 | Stage 1 (1 torps) | Reward  +1075.3 | Survival  66.0% | eps 0.10 | noise 0.05
Ep 01780 | Stage 1 (1 torps) | Reward   +773.7 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 01800 | Stage 1 (1 torps) | Reward   +340.5 | Survival  66.0% | eps 0.10 | noise 0.05
Ep 01820 | Stage 1 (1 torps) | Reward   +710.0 | Survival  63.0% | eps 0.10 | noise 0.05
Ep 01840 | Stage 1 (1 torps) | Reward   +390.1 | Survival  66.0% | eps 0.10 | noise 0.05
Ep 01860 | Stage 1 (1 torps) | Reward   +750.0 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 01880 | Stage 1 (1 torps) | Reward   +745.8 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 01900 | Stage 1 (1 torps) | Reward   +651.9 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 01920 | Stage 1 (1 torps) | Reward   +772.2 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 01940 | Stage 1 (1 torps) | Reward  +1115.9 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 01960 | Stage 1 (1 torps) | Reward   +688.8 | Survival  78.0% | eps 0.10 | noise 0.05
Ep 01980 | Stage 1 (1 torps) | Reward   +734.3 | Survival  80.0% | eps 0.10 | noise 0.05
Ep 02000 | Stage 1 (1 torps) | Reward   +722.4 | Survival  77.0% | eps 0.10 | noise 0.05
Ep 02020 | Stage 1 (1 torps) | Reward   +713.4 | Survival  76.0% | eps 0.10 | noise 0.05
Ep 02040 | Stage 1 (1 torps) | Reward   +765.8 | Survival  73.0% | eps 0.10 | noise 0.05
Ep 02060 | Stage 1 (1 torps) | Reward   +768.9 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 02080 | Stage 1 (1 torps) | Reward   +692.2 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 02100 | Stage 1 (1 torps) | Reward   +705.2 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 02120 | Stage 1 (1 torps) | Reward   +354.9 | Survival  62.0% | eps 0.10 | noise 0.05
Ep 02140 | Stage 1 (1 torps) | Reward   +698.0 | Survival  63.0% | eps 0.10 | noise 0.05
Ep 02160 | Stage 1 (1 torps) | Reward   +711.8 | Survival  64.0% | eps 0.10 | noise 0.05
Ep 02180 | Stage 1 (1 torps) | Reward   +717.6 | Survival  60.0% | eps 0.10 | noise 0.05
Ep 02200 | Stage 1 (1 torps) | Reward   +828.5 | Survival  63.0% | eps 0.10 | noise 0.05
Ep 02220 | Stage 1 (1 torps) | Reward   +704.6 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 02240 | Stage 1 (1 torps) | Reward   +795.6 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 02260 | Stage 1 (1 torps) | Reward   +697.9 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 02280 | Stage 1 (1 torps) | Reward   +690.5 | Survival  69.0% | eps 0.10 | noise 0.05
Ep 02300 | Stage 1 (1 torps) | Reward   +844.9 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 02320 | Stage 1 (1 torps) | Reward   +711.7 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02340 | Stage 1 (1 torps) | Reward   +721.2 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02360 | Stage 1 (1 torps) | Reward   +713.5 | Survival  68.0% | eps 0.10 | noise 0.05
Ep 02380 | Stage 1 (1 torps) | Reward   +767.3 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 02400 | Stage 1 (1 torps) | Reward   +313.4 | Survival  66.0% | eps 0.10 | noise 0.05
Ep 02420 | Stage 1 (1 torps) | Reward   +692.4 | Survival  63.0% | eps 0.10 | noise 0.05
Ep 02440 | Stage 1 (1 torps) | Reward   +720.7 | Survival  65.0% | eps 0.10 | noise 0.05
Ep 02460 | Stage 1 (1 torps) | Reward   +727.4 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 02480 | Stage 1 (1 torps) | Reward   +821.7 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 02500 | Stage 1 (1 torps) | Reward   +355.4 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 02520 | Stage 1 (1 torps) | Reward   +271.9 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 02540 | Stage 1 (1 torps) | Reward   +701.7 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 02560 | Stage 1 (1 torps) | Reward   +693.8 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02580 | Stage 1 (1 torps) | Reward   +273.8 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02600 | Stage 1 (1 torps) | Reward   +662.1 | Survival  74.0% | eps 0.10 | noise 0.05
Ep 02620 | Stage 1 (1 torps) | Reward   +706.2 | Survival  75.0% | eps 0.10 | noise 0.05
